배우 이름,정보 1,정보 2,정보 3,정보 4,정보 5,정보 6,정보 7,정보 8,정보 9,정보 10,정보 11,정보 12
지현준(2편),다른 이름JI Hyeon-jun,직업배우,생년월일1978-01-16,성별남,,,,,,,,
김동욱(3편),직업배우,생년월일1983-07-29,성별남,신장/체중175cm,학교한국예술종합학교 연극원,,,,,,,
신용우(12편),직업성우,생년월일1976-03-19,성별남,,,,,,,,,
정미숙(6편),직업성우,생년월일1962-12-25,성별여,,,,,,,,,
이준혁(6편),직업배우,생년월일1972-03-19,성별남,홈페이지 https://www.instagram.com/junhyeok.lee.393/,,,,,,,,
수현(1편),원어명김수현,다른 이름유리엘;클라우디아 킴; 클라우디아 김,직업배우,생년월일1985-01-25,성별여,"홈페이지 https://www.instagram.com/claudiashkim/
https://twitter.com/claudiaskim",학교이화여자대학교 국제학,,,,,
정혜영(1편),직업배우,생년월일1973-12-14,성별여,"홈페이지 https://www.instagram.com/hydrangea_garden/
https://twitter.com/hyeyoung2004",신장/체중163cm,학교서울예술대학 광고창작,"취미영화감상, 노래부르기","특기무용, 색종이로 물건 만들기",소속사(주)YG엔터테인먼트,,,
김도훈(1편),직업배우,생년월일1998-09-15,성별남,홈페이지 instagram.com/7imdohoon/,신장/체중182cm,학교중앙대학교,,,,,,
박주현(3편),직업배우,생년월일1994-10-05,성별여,홈페이지 instagram.com/charmgirl_1005/,,,,,,,,
이선(4편),다른 이름이 선; 李善,직업성우,생년월일1972-05-19,성별여,,,,,,,,
김희원(7편),직업배우,생년월일1971-01-10,성별남,신장/체중180cm,학교서울예술대학 연극과,소속사DMS커뮤니케이션즈,,,,,,
전소니(2편),직업배우,생년월일1991-03-20,성별여,신장/체중163cm,,,,,,,,
김재현(1편),다른 이름엔플라잉;N.Flying;닥터 제이;Dr Jay,직업가수,생년월일1994-07-15,성별남,,,,,,,,
탕준상(6편),직업배우,생년월일2003-08-13,성별남,,,,,,,,,
류승곤(2편),다른 이름유승곤,직업성우,성별남,,,,,,,,,
박소이(3편),직업배우,생년월일2012-03-12,성별여,,,,,,,,,
고경표(4편),원어명高庚杓,직업배우,생년월일1990-06-11,성별남,홈페이지 instagram.com/kopular/,,,,,,,
황보라(1편),직업배우,생년월일1983-10-02,성별여,홈페이지 https://www.facebook.com/profile.php?id=100005027340180,"신장/체중165cm, 44kg",학교동국대학교 연극영화,"취미독서, 연극, 뮤지컬 감상",특기재즈댄스,,,,
예수정(7편),다른 이름芮秀貞,직업배우,생년월일1955-03-25,성별여,,,,,,,,
박주환(1편),다른 이름Park Joo Hwan,직업배우,생년월일1982-11-18,성별남,"신장/체중183cm, 73kg",학교중앙대학교 연극영화과,,,,,,
이미숙(3편),원어명李美淑,직업배우,생년월일1959-04-02,성별여,신장/체중162cm,학교고려대학교 언론대학원,"취미골프, 영화감상, 운동",특기골프,소속사엠제이이엔티,,,
정건주(1편),직업배우,생년월일1995-05-26,성별남,홈페이지 http://instagram.com/jrjswn,,,,,,,,
박근형(3편),다른 이름朴根瀅,직업배우,생년월일1940-06-07,성별남,"신장/체중177cm, 80kg",학교중앙대학교 연극영화학,"취미낚시, 골프",특기수영,,,,
김용(12편),직업성우,성별남,,,,,,,,,,
정유정(3편),직업성우,생년월일1991-03-27,성별여,,,,,,,,,
문성근(9편),다른 이름文盛瑾,직업배우,생년월일1953-05-28,성별남,"홈페이지 https://twitter.com/actormoon
https://www.facebook.com/actormoon",학교서강대학교 무역학과,"취미바둑, 독서",,,,,
박경혜(4편),직업배우,생년월일1993-01-05,성별여,홈페이지 instagram.com/WO_WA_EYA,,,,,,,,
곽동연(3편),직업배우,생년월일1997-03-19,성별남,"홈페이지 https://twitter.com/kwakdongyeon97
https://www.instagram.com/kwakdongyeon0/",,,,,,,,
김은아(6편),직업성우,생년월일1976-02-07,성별여,,,,,,,,,
양현민(4편),직업배우,생년월일1981-11-16,성별남,"신장/체중177cm, 70kg",,,,,,,,
이미자(3편),직업성우,생년월일1958-09-06,성별여,,,,,,,,,
김남길(9편),다른 이름이한; LEE Han; 金南佶,직업배우,생년월일1980-03-13,성별남,홈페이지 https://www.instagram.com/namgildaero/,신장/체중184cm,학교사이버한국외국어대학교 중국어과,소속사=,,,,
현봉식(5편),다른 이름현재영; 현보람,직업배우,생년월일1984-10-20,성별남,홈페이지 instagram.com/bongsikh/,,,,,,,
이정하(2편),직업배우,생년월일1998-02-23,성별남,홈페이지 instagram.com/jungha.km/,,,,,,,,
허동원(4편),직업배우,생년월일1980-06-09,성별남,,,,,,,,,
김연우(4편),직업성우,생년월일1988-08-24,성별여,,,,,,,,,
신경선(1편),직업성우,생년월일1983-12-30,성별남,학교경희대학교 연극영화학과 졸업,,,,,,,,
허성태(8편),직업배우,생년월일1977-10-20,성별남,,,,,,,,,
박신양(1편),직업배우,생년월일1968-11-01,성별남,홈페이지 https://twitter.com/parkshinyang,"신장/체중178cm, 68kg",학교동국대학교 연극영화학과,"취미운동, 노래, 비디오감상","특기발레, 기계체조, 아이스하키, 재즈댄싱",소속사씨너지인터네셔널,,,
이준영(1편),다른 이름준; 유키스; U-KISS; 유앤비; UNB,직업가수,생년월일1997-01-22,성별남,홈페이지 https://www.instagram.com/ukiss_jun97,,,,,,,
윤여정(10편),다른 이름尹汝貞,직업배우,생년월일1947-06-19,성별여,학교한양대학교 국문학 (중퇴),,,,,,,
권해효(13편),다른 이름權海驍,직업배우,생년월일1965-11-06,성별남,신장/체중170cm,학교한양대학교 연극영화학 졸업,,,,,,
우현(6편),직업배우,생년월일1964-01-01,성별남,,,,,,,,,
신정근(5편),직업배우,성별남,홈페이지 http://www.artistcompany.co.kr/portfolio-item/shin-jung-geun/,소속사아티스트컴퍼니,,,,,,,,
고아라(1편),직업배우,생년월일1990-02-11,성별여,홈페이지 http://www.artistcompany.co.kr/portfolio-item/go-a-ra/,소속사아티스트컴퍼니,,,,,,,
차태현(2편),직업배우,생년월일1976-03-25,성별남,"신장/체중175cm, 65kg",학교중앙대학교언론대학원,"취미영화보기, 노래부르기",특기골프,소속사싸이더스 HQ,,,,
정다은(1편),직업배우,생년월일2001-01-26,성별여,홈페이지 https://www.instagram.com/da.eun_j,,,,,,,,
이혜리(2편),다른 이름혜리; Hyeri; 걸스데이; Girl's Day,직업가수,생년월일1994-06-09,성별여,홈페이지 instagram.com/hyeri_0609/,,,,,,,
정성화(3편),직업배우,생년월일1975-01-02,성별남,홈페이지 instagram.com/dennikingg/,,,,,,,,
이현욱(1편),직업배우,생년월일1985-06-17,성별남,"신장/체중180cm, 68kg",,,,,,,,
박상훈(1편),직업성우,생년월일1982-12-12,성별남,,,,,,,,,
박성근(3편),직업배우,생년월일1971-05-02,성별남,홈페이지 https://www.instagram.com/impsg1234/,,,,,,,,
함수정(1편),다른 이름张安琪,직업성우,생년월일1962-07-27,성별여,,,,,,,,
문남숙(4편),직업성우,생년월일1976-10-17,성별여,,,,,,,,,
주종혁(3편),직업배우,생년월일1991-00-00,성별남,홈페이지 instagram.com/joojong_/,,,,,,,,
최원영(2편),다른 이름최성욱; Choe Seong-uk,직업배우,생년월일1976-01-10,성별남,"홈페이지 https://www.facebook.com/saram.choiwonyoung
https://twitter.com/bigapple3pp",,,,,,,
최윤슬(1편),다른 이름최미진,직업배우,생년월일1983-01-27,성별여,,,,,,,,
박윤희(1편),직업성우,성별여,,,,,,,,,,
문정희(6편),다른 이름MOON Jeong-hee,직업배우,생년월일1976-01-12,성별여,"홈페이지 https://www.instagram.com/jeonghee_moon/
https://www.facebook.com/jeonghee.m.moon
https://twitter.com/mariemoon0112","신장/체중164cm, 43kg",학교한국예술종합학교 연기,"취미그림감상, 태권도","특기재즈댄스, 살사댄스, 판소리",,,
이서환(1편),다른 이름이영기,직업배우,생년월일1973-03-06,성별남,,,,,,,,
최광일(4편),다른 이름CHOI Kwang-il,직업배우,생년월일1971-06-08,성별남,,,,,,,,
박세완(3편),직업배우,생년월일1994-09-24,성별여,홈페이지 instagram.com/pp__swan,,,,,,,,
김태우(4편),직업배우,생년월일1971-04-15,성별남,"신장/체중183cm, 73kg",학교중앙대학교 연극영화,취미수영,특기사물놀이,,,,,
박지윤(6편),직업성우,생년월일1978-04-17,성별여,,,,,,,,,
오인성(4편),직업성우,생년월일1965-11-04,성별남,,,,,,,,,
박은빈(1편),직업배우,생년월일1992-09-04,성별여,학교영파여자고등학교,소속사(주)키이스트,,,,,,,
김윤진(3편),직업배우,생년월일1973-11-07,성별여,홈페이지 https://www.yunjinkim.co.kr:9023/profile/,"신장/체중168cm, 48kg",학교보스턴대학교 공연예술학,"취미음악감상, 여행","특기발레, 재즈무용",소속사자이온 이엔티(주),,,
유성주(8편),다른 이름YOU Seong-joo,직업배우,생년월일1973-11-12,성별남,,,,,,,,
정선혜(2편),직업성우,생년월일1973-11-16,성별여,,,,,,,,,
김성연(2편),직업성우,성별여,,,,,,,,,,
임철수(1편),직업배우,생년월일1984-08-22,성별남,,,,,,,,,
이순원(4편),직업배우,생년월일1983-02-19,성별남,,,,,,,,,
최시원(1편),다른 이름시원; 슈퍼주니어,직업가수,생년월일1987-02-10,성별남,홈페이지 https://instagram.com/siwon1987/,"신장/체중182cm, 67kg",학교인하대학교 예술체육학부,"취미영화감상, 드럼연주, 태권도","특기중국어, 노래, 댄스, 연기",소속사SM엔터테인먼트,,
신현지(1편),직업모델,생년월일1996-03-15,성별여,홈페이지 instagram.com/iamhyunjishin/,,,,,,,,
전배수(2편),직업배우,생년월일1970-06-02,성별남,,,,,,,,,
송준석(4편),직업성우,성별남,,,,,,,,,,
김호중(1편),직업가수,생년월일1991-10-02,성별남,홈페이지 https://www.instagram.com/hojoongng/,,,,,,,,
서정익(13편),직업성우,생년월일1993-02-12,성별남,,,,,,,,,
윤제문(4편),다른 이름尹帝文,직업배우,생년월일1970-03-09,성별남,홈페이지 https://twitter.com/yoonjemoon,신장/체중180cm,소속사나무액터스,,,,,
조한철(11편),직업배우,생년월일1973-06-13,성별남,,,,,,,,,
이민기(1편),다른 이름李民基,직업배우,생년월일1985-01-16,성별남,홈페이지 https://www.instagram.com/xgo_odx/,"신장/체중183cm, 71kg",학교건국대학교 영화예술학 (재학),취미휠맨,"특기노래, 기타연주",소속사Go_od Management,,
김홍파(7편),직업배우,생년월일1962-01-05,성별남,,,,,,,,,
김영선(3편),직업성우,생년월일1968-12-17,성별남,,,,,,,,,
다현(1편),다른 이름김다현; 트와이스; TWICE,직업가수,생년월일1998-05-28,성별여,홈페이지 https://twice.jype.com/,학교한림연예예술고등학교 실용음악과,,,,,,
소연(7편),직업성우,생년월일1973-12-10,성별여,신장/체중168cm,학교단국대학교 연극영화과,,,,,,,
김정아(4편),직업성우,생년월일1974-12-06,성별여,,,,,,,,,
구자형(3편),직업성우,생년월일1965-03-21,성별남,홈페이지 http://blog.naver.com/uomo99/40102938264,,,,,,,,
강경헌(3편),원어명姜暻憲,직업배우,생년월일1977-03-14,성별여,홈페이지 https://twitter.com/k2hlove,학교단국대학교대학원 연극영화전공 석사,,,,,,
박희본(4편),직업배우,생년월일1983-05-11,성별여,홈페이지 https://twitter.com/heevon_,신장/체중162cm,학교세종대학교 영화예술학과,,,,,,
푸바오(1편),원어명福寶,다른 이름福宝,생년월일2020-07-20,성별여,,,,,,,,
지창욱(4편),직업배우,생년월일1987-07-05,성별남,"홈페이지 https://twitter.com/jichangwook
https://www.instagram.com/jichangwook/","신장/체중180cm, 65kg",학교단국대학교 공연영상학부,"특기노래, 유도, 수영",소속사(주)글로리어스,,,,
김수미(2편),다른 이름김영옥; 金秀美,직업배우,생년월일1949-09-03,사망2024-10-25,성별여,학교고려대학교언론대학원,"취미글쓰기, 원예",특기수영,,,,
이원종(3편),원어명李元鍾,직업배우,생년월일1966-01-01,성별남,신장/체중180cm,학교경기대학교 행정학 - 성균관대학교 정치외교학,,,,,,
박정우(1편),직업배우,생년월일1996-01-19,성별남,홈페이지 https://www.instagram.com/jjung_woo_,,,,,,,,
조아람(1편),다른 이름구구단; 혜연,직업배우,생년월일2000-08-05,성별여,홈페이지 instagram.com/i_joaram/,,,,,,,
홍완표(2편),직업배우,생년월일1981-08-21,성별남,,,,,,,,,
윤채나(2편),직업배우,생년월일2016-04-27,성별여,홈페이지 https://www.instagram.com/chaena.yoon/,,,,,,,,
김민(1편),직업배우,생년월일1999-01-18,성별남,,,,,,,,,
장현성(3편),다른 이름張鉉誠,직업배우,생년월일1970-07-17,성별남,홈페이지 https://www.facebook.com/100002735378823,학교서울예술대학 연극과,소속사지티비엔터테인먼트,,,,,
송유현(1편),원어명宋柔炫,직업배우,생년월일1983-01-08,성별여,홈페이지 instagram.com/as_always_smile/,신장/체중165cm,,,,,,
장민혁(2편),직업성우,생년월일1978-12-28,성별남,,,,,,,,,
김다올(5편),다른 이름김상현,직업성우,생년월일1991-04-06,성별남,,,,,,,,
홍승효(1편),직업성우,성별남,홈페이지 https://www.instagram.com/hshmike/,,,,,,,,,
송영규(4편),직업배우,생년월일1970-04-18,성별남,,,,,,,,,
장예나(3편),직업성우,생년월일1995-11-27,성별여,,,,,,,,,
김서영(3편),직업성우,생년월일1977-01-19,성별여,,,,,,,,,
루이바오(1편),원어명睿宝,다른 이름睿寶,생년월일2023-07-07,성별여,,,,,,,,
김서형(2편),직업배우,생년월일1973-10-28,성별여,"신장/체중170cm, 49kg",학교영동전문대학 여성교양,"취미헬스, 영화감상, 수영",,,,,,
석승훈(5편),다른 이름SEOK Seung-hun,직업성우,생년월일1989-03-22,성별남,,,,,,,,
정지호(1편),직업배우,생년월일1980-00-00,성별남,,,,,,,,,
김채린(1편),직업성우,성별여,홈페이지 https://www.instagram.com/zzaerini_dw/,,,,,,,,,
최지수(1편),직업배우,성별여,홈페이지 echogg.com/CHOIJISU,신장/체중160cm,,,,,,,,
정인겸(2편),직업배우,생년월일1968-04-09,성별남,,,,,,,,,
하성용(6편),직업성우,생년월일1972-12-12,성별남,,,,,,,,,
이승기(1편),직업가수,생년월일1987-01-13,성별남,홈페이지 https://instagram.com/leeseunggi.official/,"신장/체중182cm, 70kg",학교동국대학교 국제통상학,"취미음악듣기, 축구",특기검도,,,,
오정세(10편),직업배우,생년월일1977-02-26,성별남,소속사스타파크엔터테인먼트,,,,,,,,
이주영(5편),직업배우,생년월일1987-04-24,성별여,홈페이지 https://www.instagram.com/izoo_young/,,,,,,,,
김준한(5편),직업배우,생년월일1983-03-29,성별남,,,,,,,,,
전태열(8편),직업성우,성별남,,,,,,,,,,
이현욱(1편),직업배우,생년월일1985-06-17,성별남,"신장/체중180cm, 68kg",,,,,,,,
조현철(7편),직업배우,생년월일1986-12-24,성별남,신장/체중180cm,학교한국예술종합학교 예술사,,,,,,,
정국(2편),다른 이름전정국; 방탄소년단,직업가수,생년월일1997-09-01,성별남,,,,,,,,
황창영(7편),직업성우,생년월일1987-05-26,성별남,,,,,,,,,
강말금(3편),다른 이름강수혜,직업배우,생년월일1979-01-03,성별여,,,,,,,,
백하이(1편),직업배우,생년월일1999-11-22,성별여,홈페이지 instagram.com/hi._.highly/,,,,,,,,
김성령(3편),다른 이름金成鈴; KIM Sung-ryeong,직업배우,생년월일1967-02-08,성별여,,,,,,,,
유상우(1편),직업성우,성별여,,,,,,,,,,
후이바오(1편),원어명輝寶,다른 이름辉宝,생년월일2023-07-07,성별여,,,,,,,,
변우석(1편),직업모델,생년월일1991-10-31,성별남,홈페이지 http://instagram.com/byeonwooseok,,,,,,,,
신윤주(2편),직업배우,생년월일1995-10-14,성별여,,,,,,,,,
이수경(3편),직업배우,생년월일1996-10-24,성별여,,,,,,,,,
하도권(2편),직업배우,성별남,홈페이지 instagram.com/hadokwon2018/,,,,,,,,,
김수안(4편),직업배우,생년월일2006-01-27,성별여,,,,,,,,,
신소율(3편),다른 이름김정민,직업배우,생년월일1987-08-05,성별여,홈페이지 instagram.com/shin_so_yul/,"신장/체중165cm, 47kg",학교국민대학교 연극영화학과,소속사라온아이㈜,,,,
장동윤(3편),직업배우,생년월일1992-07-12,성별남,,,,,,,,,
김소희(6편),직업성우,성별여,,,,,,,,,,
슈가(2편),다른 이름민윤기; 방탄소년단;BTS,직업가수,생년월일1993-03-09,성별남,,,,,,,,
강수진(2편),직업성우,생년월일1965-10-19,성별남,학교서울예술대학교 방송연예과,,,,,,,,
최병모(5편),직업배우,생년월일1972-01-14,성별남,,,,,,,,,
김시우(1편),직업배우,생년월일2012-11-26,성별남,,,,,,,,,
권유나(1편),직업배우,성별여,,,,,,,,,,
임성재(3편),직업배우,생년월일1987-01-18,성별남,,,,,,,,,
강시현(3편),직업성우,생년월일1984-03-01,성별여,,,,,,,,,
